tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000124535	1721.24	1751.6	1783.68	1858.26	1477.97	1248.41	1870.1	1853.77	2028.17	1484.6
ENSG00000124541	1633.91	2300.73	1271.95	1064.26	1382.38	1198.22	1667.52	1504.08	776.745	892.645
ENSG00000124557	15.5241	19.0292	3.69038	9.86338	24.6207	18.2516	0	0	1.0525	2.09541
ENSG00000124562	2778.82	3398.08	2224.07	1955.91	1974.73	1864.4	2320.94	2151.31	1705.05	1320.11
ENSG00000124564	0	0	0	0	0	0	1.17101	0	2.105	4.19082
ENSG00000124568	0	0	0	0	0.72414	0	9.36807	0	2.105	3.14312
ENSG00000124570	544.314	610.748	1328.54	1528.82	1598.9	1218.3	1774.08	2159.49	1789.25	1453.17
ENSG00000124571	6689.92	6327.68	4552.69	4251.12	3422.28	3566.37	3659.4	4231.05	2401.81	2072.36
ENSG00000124574	494.831	637.027	409.632	518.814	772.657	754.705	1303.33	1231.07	638.868	749.109
ENSG00000124575	13736.9	12345.5	11828.9	8772.49	8560.78	6903.68	789.26	741.302	3214.34	3393.52
ENSG00000124587	1160.43	1138.13	1451.55	1713.27	1204.97	1054.94	1357.2	1560.31	797.795	920.933
ENSG00000124588	2127.77	2771.93	1359.29	1451.89	2946.52	2741.39	1096.06	1244.37	493.623	729.203
ENSG00000124593	120.903	96.7253	81.2853	139.11	252.71	212.546	369.988	445.574	699.101	890.635
ENSG00000124596	874.759	931.97	1222.78	1297.08	1140.57	1067.23	926.182	994.439	555.178	538.853
ENSG00000124602	82.8846	49.3958	102.068	108.455	96.9823	125.518	155.83	126.205	139.472	109.677
ENSG00000124608	1097.36	1409.07	1525.36	1389.75	1362.83	1301.34	1261.18	1555.2	1253.53	1060.28
ENSG00000124610	263.91	813.727	7.38075	2.95901	6.51726	2.73774	1.17101	0	1608.22	1517.08
ENSG00000124613	295.928	319.873	381.339	355.082	318.621	344.956	181.506	251.531	76.8325	217.923
ENSG00000124614	23614.5	22995.6	25058.6	24873.7	25290.2	24033.8	10243.3	10944.8	12982.1	8255.61
ENSG00000124615	796.581	919.747	547.406	550.376	718.347	606.867	930.952	1125.76	617.818	389.746
ENSG00000124635	3460.91	3617.37	2894.49	2194.6	3814.77	3237.84	660.449	511.243	1647.16	1505.55
ENSG00000124641	1022.65	1429.01	712.243	765.398	843.623	742.841	1289.28	1292.42	852.525	632.814
ENSG00000124657	1.94051	3.62462	0	0	1.44828	0	0	0	3.1575	7.33394
ENSG00000124659	613.202	797.416	788.51	911.376	722.691	730.065	1042.2	1121.67	633.605	553.188
ENSG00000124664	8.73231	1.81231	7.38075	9.86338	20.2759	20.0768	2.34202	0	4.21	6.28623
ENSG00000124678	0	0	1.23013	1.97268	1.44828	2.73774	0	0	6.315	5.23853
ENSG00000124688	617.083	808.29	640.895	718.054	644.484	541.161	945.004	980.564	557.825	474.611
ENSG00000124701	0.970257	0.906155	0	0	144.828	204.418	3202.71	3332.28	4196.32	1981.21
ENSG00000124702	5025.93	5724.18	4521.94	4724.56	4175.39	3666.75	9382.13	8577.63	6753.9	3721.45
ENSG00000124713	6.7918	11.78	1.23013	2.95901	7.2414	6.38807	7.02605	3.06746	16.84	8.38164
ENSG00000124721	16.4944	9.9677	40.5941	19.7268	1.44828	3.65033	1.17101	0	5.2625	7.33394
ENSG00000124731	0	0	0	0	0	0	0	0	0	1.04771
ENSG00000124733	1850.28	1944.61	1739.4	1873.06	1384.56	1270.31	1608.97	1798.55	1314.57	1059.23
ENSG00000124743	23.2862	18.1231	11.0711	10.8497	28.9656	31.9403	1653.46	1643.13	2608.1	2102.74
ENSG00000124749	53.3641	54.3693	4.9205	5.91803	334.553	173.39	76.1156	142.126	6638.12	5291.96
ENSG00000124762	2446.02	1129.97	412.092	460.62	322.966	625.118	6206.35	7841.44	972.511	568.904
ENSG00000124766	8640.14	7968.72	5659.81	5351.87	4633.77	4255.37	2730.79	1312.87	4434.19	4627.71
ENSG00000124767	8827.4	9221.03	6912.08	7034.56	6021.95	6375.29	3728.49	5437.58	3720.59	3200.74
